target_id	length	eff_length	est_counts	tpm
ENST00000632684.1	12	10	0	0
ENST00000434970.2	9	7	0	0
ENST00000448914.1	13	11	0	0
ENST00000415118.1	8	6	0	0
ENST00000631435.1	12	10	0	0
ENST00000390583.1	31	15.25	0	0
ENST00000390577.1	37	21.25	0	0
ENST00000451044.1	17	15	0	0
ENST00000390578.1	31	15.25	0	0
ENST00000390572.1	28	26	0	0
ENST00000632859.1	21	19	0	0
ENST00000632524.1	11	9	0	0
ENST00000390590.1	31	15.25	0	0
ENST00000390588.1	20	18	0	0
ENST00000431870.1	16	14	0	0
ENST00000431440.2	16	14	0	0
ENST00000390575.1	20	18	0	0
ENST00000390571.1	31	15.25	0	0
ENST00000437320.1	19	17	0	0
ENST00000390569.1	20	18	0	0
ENST00000390591.1	31	15.25	0	0
ENST00000414852.1	16	14	0	0
ENST00000390585.1	31	15.25	0	0
ENST00000390581.1	23	21	0	0
ENST00000390580.1	21	19	0	0
ENST00000390574.1	21	19	0	0
ENST00000452198.1	18	16	0	0
ENST00000604838.1	17	15	0	0
ENST00000454691.1	18	16	0	0
ENST00000430425.1	17	15	0	0
ENST00000390584.1	31	15.25	0	0
ENST00000454908.1	17	15	0	0
ENST00000632542.1	18	16	0	0
ENST00000632968.1	17	15	0	0
ENST00000603935.1	31	15.25	0	0
ENST00000604446.1	23	21	0	0
ENST00000605284.1	17	15	0	0
ENST00000632963.1	20	18	0	0
ENST00000604950.1	31	15.25	0	0
ENST00000450276.1	17	15	0	0
ENST00000390567.1	20	18	0	0
ENST00000439842.1	11	9	0	0
ENST00000633353.1	31	15.25	0	0
ENST00000631884.1	17	15	0	0
ENST00000633210.1	17	15	0	0
ENST00000631803.1	31	15.25	0	0
ENST00000603326.1	19	17	0	0
ENST00000604102.1	31	15.25	0	0
ENST00000603693.1	19	17	0	0
ENST00000633504.1	31	15.25	0	0
ENST00000634154.1	16	14	0	0
ENST00000631895.1	23	21	0	0
ENST00000632473.1	31	15.25	0	0
ENST00000633009.1	20	18	0	0
ENST00000603077.1	31	15.25	0	0
ENST00000632609.1	31	15.25	0	0
